sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2012-12-06;227,200;227,900;228,000;230,000;227,000;227,900;228,329;17164;3919039,4;117;
2012-12-05;227,000;227,600;226,000;228,200;226,000;227,600;227,323;15021;3414611,9;98;
2012-12-04;226,000;227,400;227,700;227,700;226,000;226,000;226,449;10999;2490716,5;75;
2012-12-03;226,700;227,600;224,200;229,000;224,200;227,600;228,067;35216;8031611,7;174;
2012-11-30;226,000;226,600;226,000;227,000;224,200;226,000;225,911;12531;2830889,8;79;
2012-11-29;225,400;225,500;224,000;225,500;223,500;225,500;224,228;19061;4273999,9;85;
2012-11-28;223,000;223,800;230,000;230,000;219,800;223,800;221,275;35520;7859671,1;153;
2012-11-27;221,800;222,600;220,400;222,600;220,000;222,600;221,762;85400;18938493,8;278;
2012-11-26;220,000;220,400;219,500;221,300;219,300;219,900;219,815;13975;3071916,2;72;
2012-11-23;219,500;219,600;216,900;220,000;216,300;219,600;218,201;6719;1466095,3;38;
2012-11-22;217,000;218,300;218,500;218,500;215,000;218,300;216,731;11888;2576494;75;
2012-11-21;217,500;219,000;217,000;218,900;216,600;217,500;217,861;8941;1947897,9;72;
2012-11-20;219,100;219,500;222,000;222,000;217,000;219,100;218,624;12300;2689071,5;92;
2012-11-19;221,200;222,000;217,500;222,000;217,500;222,000;219,556;6745;1480902,5;75;
2012-11-16;217,200;218,000;219,000;220,100;215,600;217,200;217,711;7762;1689876,2;74;
2012-11-15;220,100;220,300;220,000;221,200;219,300;220,100;220,278;6008;1323427,8;47;
2012-11-14;221,200;223,000;224,200;224,200;220,500;223,000;221,968;11816;2622779,1;73;
2012-11-13;222,500;224,300;220,600;224,300;219,100;224,300;221,200;20683;4575081,8;158;
2012-11-12;222,000;223,400;222,500;223,800;221,100;223,400;222,669;3951;879763,1;49;
2012-11-09;222,500;223,800;222,000;223,700;221,400;222,500;222,538;5531;1230855,7;50;
2012-11-08;223,600;224,300;224,700;225,000;222,100;224,300;223,714;11997;2683890,5;94;
2012-11-07;224,000;224,100;223,800;226,300;223,800;224,100;224,990;8389;1887444,3;77;
2012-11-06;223,800;224,700;220,900;224,900;220,900;223,800;224,041;15136;3391087,3;80;
2012-11-05;221,400;221,700;220,400;222,000;218,700;221,700;220,479;12839;2830726;68;
2012-11-02;218,800;219,800;218,000;220,400;217,600;220,400;218,527;3333;728350,8;28;
2012-11-01;217,500;217,900;217,500;218,500;215,300;217,900;217,456;4313;937886,3;37;
2012-10-31;216,700;218,100;220,700;220,700;216,600;216,700;218,358;11291;2465479,4;89;
2012-10-30;219,500;220,000;219,600;220,700;219,000;219,500;219,677;7144;1569375,4;59;
2012-10-29;219,000;219,600;221,000;221,000;218,700;219,600;219,713;7400;1625874;64;
2012-10-26;220,000;221,100;224,900;224,900;218,700;221,100;220,140;15031;3308924,1;80;
2012-10-25;219,800;221,600;221,300;223,600;219,500;221,600;221,165;10336;2285958,5;66;
2012-10-24;220,900;221,300;219,500;222,600;217,000;221,300;219,796;9885;2172687,1;70;
2012-10-23;217,600;219,500;221,000;222,400;217,000;219,500;218,842;12847;2811457,7;111;
2012-10-22;221,000;221,500;221,800;224,500;218,000;221,000;221,953;24795;5503322;109;
